iter,total
147,61648
165,60964
195,60496
232,60496
462,60370
1088,60370
1099,60370
1456,60370
1880,60316
1904,60316
2138,60226
2773,60208
2801,60208
3333,60208
3506,60172
3527,60172
4233,60154
4476,60136
4484,59884
5097,59866
5144,59866
5158,59866
5725,59866
5737,59866
5755,59866
6161,59866
6208,59866
6716,59866
6728,59866
6734,59866
6742,59866
6761,59866
6904,59686
6931,59686
9500,59524
17732,59434
17752,59434
18465,59434
18507,59434
18863,59434
19338,59434
19348,59434
19453,59254
29136,59218
36740,59200
55593,59200
60673,59110
68300,59092
102446,59056
109397,59038
114967,59002
227974,59002
344342,58966
350053,58948
868245,58930
976363,58930
1107138,58840
4364737,58840
4467571,58840
15197578,58750
57790882,58696
57797569,58678
57802967,58642
58560083,58570
62053966,58570
62192629,58570
73002361,58516
73108769,58516
73246025,58516
